Origin,FlightsCount,DelayedFlightRate,AvgArrDelay,cluster,pc1,pc2
ABQ,10779,0.4231375823360238,4.301951672862454,6,-2.599486689659961,-0.1755624286731329
ANC,5934,0.45129760701044824,3.9338409475465315,3,-1.7326776149216787,-1.1681831041778166
ATL,106987,0.4710852720423977,7.446292446292446,5,3.413553267861198,-0.730155323651611
AUS,13889,0.39542083663330696,3.9738948582966755,6,-1.1470715831363436,-1.0094387071312556
BDL,9219,0.4104566655819503,3.5059834638816363,7,-0.8640832060704873,0.06262182562966336
BHM,5954,0.42290896876049716,5.66919191919192,1,-0.074904746241097,-1.225316545159635
BNA,18591,0.41659942983163895,4.925312769628991,6,-1.2522204695876964,-0.6466585613066878
BOS,36341,0.43865055997358354,6.4547586853941885,0,1.7563904330838027,1.222200984584649
BUF,7401,0.42048371841643023,5.163983222838588,1,0.5703002860608927,-1.5147035209166992
BUR,8844,0.39676616915422885,4.813718820861678,6,-2.887072209584503,-0.17424358455769293
BWI,28597,0.4311291394202189,6.062147486424943,4,0.18280751282326058,1.8862820968231886
CLE,19517,0.4174309576266844,5.195869933734011,1,0.4337675480406444,-1.8142696087295902
CLT,42452,0.47338170168661076,7.176653843430648,0,1.8458297141308815,1.8199626962556494
CMH,11291,0.42697723850854663,6.1590162478913255,1,0.022093525876084867,-1.2186051626415677
CVG,23347,0.4783912279950315,6.550733968580994,5,3.390957286486001,-1.542816587074521
DAL,15951,0.44373393517647797,6.831732278520751,4,-0.8392108671541674,2.1840260089715953
DAY,5184,0.44849537037037035,5.933513722458446,1,0.017498175428951736,-1.8133398802142857
DCA,28212,0.4048277328796257,4.55878383178234,1,0.4468870740155322,-1.0767606039800626
DEN,60151,0.4568336353510332,7.606777344401107,4,1.3767803304055775,0.9769407957061365
DFW,87039,0.47883132848493204,8.168539584580666,5,3.6273902320875875,-0.6773125964877711
DTW,45226,0.45350019900057487,7.045751778866403,5,3.245144122061824,-1.6102091489373638
ELP,7212,0.41486411536328344,4.783569641367807,6,-2.341901512364149,-1.1145925860620236
EWR,40510,0.4682547519131079,9.575162751553256,0,3.1229474350870596,3.0009736014941817
FLL,18934,0.43493186859617616,7.0110775427995975,0,1.618742252481795,2.8641515623073217
HNL,11352,0.3664552501761804,1.4330833700926335,3,-3.468730782897726,-1.8809344547087774
HOU,18643,0.4383414686477498,6.592483062694914,4,-0.8488264493379225,1.2877547006375507
IAD,20400,0.4208823529411765,7.098334070470293,0,2.835850808588578,1.2173914696653276
IAH,48748,0.43614096988594403,6.045426503249157,5,2.5838304019203617,0.14822939614856642
IND,12124,0.41999340151765097,4.94254298941799,1,-0.7437661083649572,-1.5110210778209794
JAX,8111,0.41832079891505364,5.614280410840243,1,0.690649869229173,-0.9749359661891528
JFK,25631,0.4332644063828957,7.426838336007513,0,6.559089050482349,2.095191375714259
LAS,44363,0.4518855803259473,6.001129024974032,4,-0.9259504752861386,1.8454806561574817
LAX,65745,0.44538748193778993,5.190752678340115,2,-1.2519091082162481,2.260364875819596
LGA,35590,0.43096375386344477,6.227295774647887,1,1.6506718143619452,-0.24562445279118492
MCI,17275,0.41065123010130244,4.997679275934091,6,-1.200263444419952,-0.6158050234522167
MCO,34145,0.4236930736564651,5.794581266328118,1,0.9760564145048573,0.4409117532943615
MDW,21607,0.4434211135280233,7.182518326064767,4,1.7886292599958817,1.8062652119184193
MEM,16006,0.4368361864300887,5.262561082571106,3,0.2560205781124923,-2.2686426675258864
MIA,23448,0.45773626748549984,7.529890025247123,5,3.3603209907581393,-0.020850202369211653
MKE,8580,0.4054778554778555,5.34879644776817,1,1.3797101385790536,-1.0754718375435222
MSP,42891,0.43246835000349726,5.379115226337449,5,1.654775079036071,-2.5266443388411584
MSY,14561,0.41576814779204724,4.908396421197522,6,-1.28352525754211,-0.126916903603779
OAK,17496,0.4403292181069959,4.8428072585723285,2,-2.8932511966418653,2.5134469983357643
OKC,7399,0.4087038789025544,5.52402219515496,6,-0.7306070562749103,0.3050626653439311
OMA,6655,0.3873779113448535,3.6392700950082943,1,-1.0366030730168279,-1.792576523930069
ONT,10468,0.41631639281620175,3.7497606739421787,2,-3.9151298717602447,1.139218937373053
ORD,100208,0.474453137474054,10.172159596707242,0,3.8657826997466174,0.9250778562375582
ORF,6166,0.4313979889717807,5.857979502196193,1,0.32529605619088325,-1.0450683602714343
PBI,8167,0.4465532019101261,6.896390866683035,7,0.13142134309198833,2.861488141574156
PDX,17040,0.4223591549295775,3.991,2,-2.8292847534548113,0.8916248360139384
PHL,31712,0.46231710393541875,7.757427307206068,0,1.8235302587167495,0.8515723885380373
PHX,55017,0.4602577385171856,5.480287717381407,2,-0.9846547762697786,1.8933647516231353
PIT,24998,0.49035922873829907,6.56668671076368,1,-0.2877404087899821,-1.866256924131795
PVD,6263,0.3862366278141466,4.091694671147383,7,-0.3861383994365898,-0.5959649340072107
RDU,15761,0.4181841253727555,5.658008658008658,1,0.8923403421009509,-1.7525884549057424
RIC,5593,0.417843733237976,6.7955890263582575,1,1.4835601967254672,-0.5792809940790548
RNO,7107,0.4164907837343464,5.415714487233743,6,-1.9677783114791492,0.5473923875877328
RSW,7501,0.41474470070657243,5.682085561497326,1,0.18161722727691806,-0.2973926423920259
SAN,24779,0.4099035473586505,3.689190828581827,6,-2.671268272125898,0.015998904037642172
SAT,12371,0.4057068951580309,4.166801553900939,6,-2.0060718985688406,-1.0401441944196859
SDF,6553,0.4304898519761941,6.140651276563217,1,1.1016326940754426,-1.3028296546924607
SEA,33464,0.4534425053789147,5.046610550280083,3,0.017456044341983792,-0.3781318624165739
SFO,45478,0.45936496767667884,7.741174137247124,4,-0.4190303980141272,2.0558825233520888
SJC,16566,0.419956537486418,3.9202854723599856,2,-3.677141126447995,3.9477528256401726
SJU,7690,0.40780234070221066,5.244160250554613,4,-1.0876266799842929,1.283409941640129
SLC,33666,0.43120655854571377,3.8884751720234725,3,-0.08635228915485978,-1.0300988354032508
SMF,13447,0.4162266676582137,4.307004470938897,6,-3.2280439041859426,1.0464879163676912
SNA,13227,0.4193694715354956,3.8227272727272728,6,-2.2748972449716494,0.18747924048346445
STL,33768,0.4586294716891732,6.537299254905453,6,-1.2851154196065289,-0.8225923711453906
TPA,21433,0.40484299911351657,5.0959794296400185,1,-0.15081260225453733,-1.502816809555327
TUL,6803,0.400558577098339,4.798703212496316,6,-0.9193961317505867,-1.4154838010253488
TUS,6510,0.40291858678955456,3.5966748768472905,6,-2.3307861247924566,-1.4037680883534942
